position;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;topicCategories;duration;durationSec;dimension;definition;caption;defaultLanguage;defaultLAudioLanguage;thumbnail_maxres;licensedContent;locationDescription;latitude;longitude;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
271;Tate;-UBWJ4FYphU;2016-11-30T17:44:44Z;2016-11-30 17:44:44;Cécile B. Evans – 'We Live in a Really Unique Moment Now' | TateShots;Cécile B. Evans’s Tate Liverpool commission 'Sprung a Leak' is a multi-dimensional work featuring two humanoid robots and a robot dog performing in the gallery. 'Sprung a Leak' 2016 explores the movement of data, artificial intelligence, and the relationship between humans and machines. The installation at Tate Liverpool examines the increasing influence that new technologies have on how we feel and act. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate liverpool,cecile b. evans,cecile b evans,art,technology,robots,robotics,sprung a leak;27;Education;Knowledge;PT4M45S;285;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/-UBWJ4FYphU/maxresdefault.jpg;;;;;18864;695;;0;3
272;Tate;GelzzFNh5oY;2016-11-17T14:43:11Z;2016-11-17 14:43:11;Exploring Sketchbooks | Animating the Archives;Tate Archive holds hundreds of artists sketchbooks, many of which can now be viewed online. This film reveals how for young and established artists, their sketchbook are a creative space for thinking, trying out ideas, making mistakes - even shopping lists - and how digital media is making these processes more shareable.;Tate,sketchbook,archive,artists,digital media;27;Education;Knowledge;PT9M41S;581;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/GelzzFNh5oY/maxresdefault.jpg;;;;;54259;1283;;0;22
273;Tate;pqD_bt6Q7y4;2016-11-11T17:18:12Z;2016-11-11 17:18:12;Dave McKean on Paul Nash – 'The Trenches Completely Changed Him' | TateShots;Influential illustrator, comic artist, filmmaker, musician Dave McKean (Neil Gaiman’s Sandman, Grant Morrison’s Arkham Asylum, Luna) new’ comic book Black Dog: The Dreams of Paul Nash is a uniquely original exploration of the life, imagination and ‘dreams’ of Paul Nash. In this film we talk to Dave about Nash’s work as a war artist and how his landscape paintings are just as much ‘psychological spaces’ as geographical places. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate britain,paul nash,dave mckean,tateshots,art,comic;27;Education;Entertainment,Film;PT5M14S;314;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/pqD_bt6Q7y4/maxresdefault.jpg;;;;;17963;536;;0;8
274;Tate;e2H4sAQocCM;2016-11-09T17:00:02Z;2016-11-09 17:00:02;Sir Elton John’s Modernist Photography Collection – A Home Tour;Sir Elton John introduces us to his passion for collecting and his Modernist Photography collection which he lives with, in a home tour. Made up of over 70 artists and nearly 150 rare vintage prints on show from seminal figures including Brassai, Imogen Cunningham, André Kertész, Dorothea Lange, Tina Modotti, and Aleksandr Rodchenko, The Radical Eye collection presents an unrivalled selection of classic modernist images from the 1920s to the 1950s – a crucial moment in the history of photography. Book tickets and find out more: http://bit.ly/1U4Lh4x Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,elton john,modernist photography,the radical eye,photography exhibition,irving penn,herb ritts,horst p horst,dorothea lange,andre kertesz;27;Education;Entertainment;PT4M25S;265;2d;hd;FALSE;;;https://i.ytimg.com/vi/e2H4sAQocCM/maxresdefault.jpg;;;;;93868;1062;;0;63
275;Tate;_JIhAmLEENE;2016-11-09T11:45:14Z;2016-11-09 11:45:14;Sirkka-Liisa Konttinen – 'You Always Reveal Yourself in the Pictures' | TateShots;Finnish photographer Sirkka-Liisa Konttinen moved to Newcastle in 1969 after attending art college in London she has stayed there ever since working and photographing the city and its people. Konttinen works both as a photographer and a filmmaker. Her series Byker 1969–81 documents the streets, buildings and primarily the inhabitants of Byker, a working class community in the east side of Newcastle upon Tyne. The Byker series includes a range of portraits, from traditional studio-style images to photographs of groups gathered in moments of leisure. Until the 1960s it was a working class area of densely built Victorian terrace and slum housing, after which it was redeveloped by the local council, who had condemned the houses as unfit for human habitation. Demolition began in 1966 and the council appointed the architect Ralph Erskine to design its replacement: the now Grade II listed Byker Wall estate, which was constructed between 1969 and 1982. In 1969 Konttinen moved to Byker, where she lived for six years until her house was demolished. She returned over the next decade to continue to document life in the community. Sirkka-Liisa Konttinen in the Tate collection: https://goo.gl/OwJi2p Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,photography,Sirkka-Liisa Konttinen,Newcastle,Tate Modern,Geordies,Black and White Photography;27;Education;Hobby,Lifestyle_(sociology);PT4M45S;285;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/_JIhAmLEENE/maxresdefault.jpg;;;;;20978;635;;0;40
276;Tate;5YCxsCNCbno;2016-11-08T18:20:14Z;2016-11-08 18:20:14;Paul Nash – War, Surrealism and British Landscapes | Tate;Art historian James Fox explores the life and art of British Surrealist Paul Nash through his fascination of the British Landscape. Paul Nash was captivated with Britain’s ancient past and spent time in southern England exploring the Downs and coastal areas. Equally inspired by the equinox and the phases of the moon, he used all these influences in his work, interpreting his environment according to a unique, personal mythology, evolving throughout his career. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Paul Nash,surrealism,wittenham clumps,british landscape,art;27;Education;Knowledge;PT5M22S;322;2d;hd;FALSE;;en-GB;;;;;;20781;392;;0;7
277;Tate;CATey5LcEF4;2016-10-28T12:58:15Z;2016-10-28 12:58:15;Mark Leckey – 'I Wallow in the Mire of Nostalgia' | TateShots;Turner Prize winning artist Mark Leckey returns to Liverpool to talk about his video piece ‘Dream English Kid’. Mark Leckey was born in Birkenhead outside Liverpool in 1964 and graduated from Newcastle Polytechnic in 1990. ‘Dream English Kid’ is a video collage taking archival material from television shows, advertisements and music, to create a record of all the significant events the artist’s life from the 1970s until the 1990s Identity and memory are key motifs in Mark Leckey’s work channeled through his own role experience an artist in London and a participant in contemporary culture, as well as a man who grew up in the 1980s in the north of England. His wide-ranging and multi-disciplinary practice combines sculpture, film, sound and performance. He celebrates the imagination of the individual, and our potential to inhabit, reclaim or animate an idea, a space, or an object. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tateshots,art,modern art,mark leckey,liverpool;27;Education;Film,Knowledge;PT5M52S;352;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/CATey5LcEF4/maxresdefault.jpg;;;;;33826;431;;0;21
278;Tate;VvpZ8HCLTCU;2016-10-18T16:01:18Z;2016-10-18 16:01:18;Philippe Parreno – ‘It’s a Half-Mechanic, Half-Organic Machine’ | TateShots;In October 2016, Philippe Parreno transformed Tate Modern’s Turbine Hall into an immersive experience, challenging visitors' perception of time and space with his Anywhen installation. Anywhen was a site-specific exhibition that changed throughout the day and that would evolve during the six-month period of the commission, until 2 April 2017. Visitors would have their senses activated and stimulated by a spectacular choreography of acoustics, sound lighting, flying objects and film, each connected to the other, and playing their part in a far bigger score. Tate’s Turbine Hall became a universe of inter-related and connected events and parallel realities. Events would unfold anywhen. Philippe Parreno is a French avant-garde artist who came to prominence in the 1990s and is perhaps most widely known for his feature film Zidane: A 21st Century Portrait. Parreno works across film, video, sound, sculpture, performance and information technology and collaborates extensively with musicians, scientists, architects and writers. Cutting-edge musicians Factory Floor and the award-winning sound designer Nicolas Becker are just some of the many collaborators involved in the commission. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate modern,art,modern art,turbine hall,installation,hyundai,phillipe parreno;27;Education;Knowledge;PT4M3S;243;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/VvpZ8HCLTCU/maxresdefault.jpg;;;;;21374;195;;0;2
279;Tate;-pFc4r_u6-U;2016-10-11T10:49:24Z;2016-10-11 10:49:24;Cecilia Knapp Responds to Henry Moore’s Mask;To celebrate this year’s World Poetry Day, poet and performer, Cecilia Knapp responds with an original piece to Henry Moore’s Mask. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate britain,henry moore,mask,cecilia knapp,spoken word,poetry,poem,art;27;Education;Entertainment;PT1M16S;76;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/-pFc4r_u6-U/maxresdefault.jpg;;;;;4916;135;;0;4
280;Tate;Z1_iEbwWdIU;2016-10-07T16:03:44Z;2016-10-07 16:03:44;Recognition – The A.I. Connecting Art to Everyday Life;Broadcaster and comedian Iain Lee takes a tour of this year's IK Prize winning project 'Recognition'. 'Recognition' is an artificial intelligence program that compares up-to-the-minute photojournalism with British art from the Tate collection. Visit the artificial intelligence program live online: http://recognition.tate.org.uk;Tate,tate britain,ik prize,ik prize 2016,iain lee,art,recognition,AI,artifical intelligence;27;Education;Knowledge;PT3M6S;186;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/Z1_iEbwWdIU/maxresdefault.jpg;;;;;37509;71;;0;2
281;Tate;UeYP8ssD_BM;2016-10-03T16:11:34Z;2016-10-03 16:11:34;Njideka Akunyili Crosby – Inhabiting Multiple Spaces | Artist Interview | TateShots;Drawing on art historical, political and personal references, Njideka Akunyili Crosby creates densely layered figurative compositions that, precise in style, nonetheless conjure the complexity of contemporary experience. Akunyili Crosby was born in Nigeria, where she lived until the age of sixteen. In 1999 she moved to the United States, where she has remained since that time. Her cultural identity combines strong attachments to the country of her birth and to her adopted home, a hybrid identity that is reflected in her work. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Njideka Akunyili Crosby,art,nigerian art,victoria miro,modern art;27;Education;Hobby,Lifestyle_(sociology);PT5M45S;345;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/UeYP8ssD_BM/maxresdefault.jpg;;;;;147074;3067;;0;60
282;Tate;nrDXy-viuus;2016-09-26T21:40:12Z;2016-09-26 21:40:12;Josephine Pryde | Turner Prize Nominee 2016 | TateShots;Josephine Pryde presents work from her nominated exhibition lapses in Thinking By the person i Am at CCA Wattis, San Francisco, alongside a series of new works she has created to mark the time between her nomination for the Turner Prize and the opening of this exhibition. Through photography and installation Pryde explores the very nature of image making and display. Her installations often include sculptural elements which highlight the context in which the work is displayed, placing as much importance on the staging of the work as the images themselves. In her Turner Prize exhibition, photographs are joined by a stationed model of a train entitled The New Media Express in a Temporary Siding (Baby Wants To Ride) 2016. Tagged by graffiti artists from the cities in which it has previously been exhibited, the train is elevated on a platform, awaiting its next move. Find out more: http://www.tate.org.uk/whats-on/tate-britain/exhibition/turner-prize-2016;Tate,Tate Britain,Contemporary Art,Turner Prize,London,Josephine Pryde,Photography,Sculpture;27;Education;Hobby,Lifestyle_(sociology);PT2M41S;161;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/nrDXy-viuus/maxresdefault.jpg;;;;;14176;81;;0;5
283;Tate;TAbGZRh5_gU;2016-09-26T19:01:49Z;2016-09-26 19:01:49;Anthea Hamilton | Turner Prize Nominee 2016 | TateShots;Anthea Hamilton presents Lichen! Libido! (London!) Chastity! a re-staging of her nominated solo exhibition at SculptureCenter, New York. Working across sculpture, installation, performance and video, Hamilton uses her research into subjects as diverse as lichen, disco and design history to create works that have a surrealist or pop culture aesthetic. Her work engages the viewer by her humour and unexpected combinations of images, materials and words, as well as dramatic shifts in scale. A central feature is Hamilton’s larger than life sculpture of a backside (or ‘butt’), Project for a Door (After Gaetano Pesce) 2016, part of a series of physical realisations of images taken from her archive. Find out more: http://www.tate.org.uk/whats-on/tate-britain/exhibition/turner-prize-2016;Tate,Turner Prize,Anthea Hamilton,London,Art,Contemporary Art,Sculpture;27;Education;Hobby,Lifestyle_(sociology);PT3M23S;203;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/TAbGZRh5_gU/maxresdefault.jpg;;;;;44956;163;;0;13
284;Tate;xn98l78-vII;2016-09-26T19:01:33Z;2016-09-26 19:01:33;Helen Marten | Turner Prize Winner 2016 | TateShots;Helen Marten presents a series of works from nominated projects Lunar Nibs at the 56th Venice Biennale and Eucalyptus Let Us In at Greene Naftali, New York. Using sculpture, screen printing and writing Marten produces works that are full of models and motifs taken from contemporary visual culture. Her intricate and intriguing sculptures bring together a range of handmade and found objects as varied as cotton buds to fish skins, to create poetic visual puzzles. In these new contexts, familiar objects become strange and abstract and give rise to new and unexpected stories or ideas. Find out more about the 2016 Turner Prize: https://goo.gl/sHnZjA;Tate,Tate Britain,Turner Prize,Helen Marten,London,Contemporary Art,Art,Sculpture;27;Education;Hobby,Lifestyle_(sociology);PT3M18S;198;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/xn98l78-vII/maxresdefault.jpg;;;;;55720;415;;0;53
285;Tate;YM2GZAHSt8c;2016-09-26T19:01:03Z;2016-09-26 19:01:03;Michael Dean | Turner Prize Nominee 2016 | TateShots;Michael Dean presents Sic Glyphs, a combination of works from his nominated exhibitions at South London Gallery and de Appel, Amsterdam. Dean starts his process with writing, which he then gives a physical form. He creates moulds and casts of his words, abstracting them into an alphabet of human-scale shapes using everyday materials such as concrete, soil, sand, and corrugated sheet metal. His sculpture (United Kingdom poverty line for two adults and two children: twenty thousand four hundred and thirty six pounds sterling as published on 1st September 2016) consists of £20,436 in pennies. When installing the work Dean removed one coin, so that the money you see represents one penny below the UK poverty line for a family of four. Find out more about the Turner Prize 2016: https://goo.gl/whh1vZ;Tate,Tate Britain,Contemporary Art,Turner Prize,Sculpture,Michael Dean;27;Education;Hobby,Lifestyle_(sociology);PT3M47S;227;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/YM2GZAHSt8c/maxresdefault.jpg;;;;;27673;280;;0;8
286;Tate;AnYBR9VAPsI;2016-09-16T16:12:28Z;2016-09-16 16:12:28;Louise Nevelson – ‘New York is My Mirror’ | TateShots;A childhood immigrant to the United States from Russia, Louise Nevelson studied painting before coming to prominence as a sculptor in the late 1950s. Gathering found objects from the urban environment around her studio in New York, she presented them within boxes. Each served as a composition in isolation, but Nevelson began to accumulate boxes on a grand scale in assemblages that she called ‘walls’. ‘Black Wall’ 1959 is one of the earliest of the large-scale works that Nevelson exhibited and constitutes an alternative portrait of the affluent consumer-driven New York City. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tateshots,louise nevelson,new york,art;27;Education;Knowledge;PT2M59S;179;2d;hd;FALSE;;en-GB;;;;;;19005;182;;0;2
287;Tate;RCVCqbqwSN0;2016-09-09T16:05:34Z;2016-09-09 16:05:34;John Gerrard – ‘Video Can No Longer Be Considered Experimental’ | TateShots;Irish artist John Gerrard has taken digital technology usually employed by the commercial gaming industry to create virtual landscapes that simulate extremely detailed and authentic rural American farms and terrains. His computer simulated videos use sophisticated computer software and algorithms to reproduce, for example, the annual orbit of the Earth around the Sun or a 24 hour journey from day-to-night. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tateshots,john gerrard,art,video art,Gaming;27;Education;Film,Knowledge;PT3M57S;237;2d;hd;FALSE;;en-GB;;;;;;13726;182;;0;6
288;Tate;aZBuF68Sb3Y;2016-09-02T11:28:41Z;2016-09-02 11:28:41;Cildo Meireles – 'Art is a Free Territory' | Tate;The Brazilian artist Cildo Meireles is widely recognised as one of the leaders in the international development of Conceptual Art. This documentary, made in 2008 by award-winning director Gerald Fox, presents an intimate portrait of the artist’s life and work, as told by the artist himself. Since the late 1960s Meireles has created sculptures and installations which involve an element of participation, often drawing attention to the body in space and time, as a physical being, and also as a psychological, social, and political one. A Tate Media production in association with Arts Council England. Cildo Meireles's 'Babel' is currently on display at Tate Modern: http://goo.gl/xHWvTL Subscribe for weekly films: http://goo.gl/X1ZnEl;Cildo Meireles,Tate,Tate Modern,Installation Art,Rio de Janeiro,Gerald Fox,Conceptual Art;27;Education;Hobby,Lifestyle_(sociology);PT47M30S;2850;2d;hd;FALSE;;en-GB;;;;;;21122;410;;0;11
289;Tate;9_WLgfFJ4Iw;2016-08-12T16:33:30Z;2016-08-12 16:33:30;Understanding Copyright | Animating The Archives;Confused by copyright? This short film explains how copyright relates to visual art and how you can use and share Tate content in your own projects. Find out more and download a brief guide to copyright here: http://goo.gl/63B77v Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,animating the archives,copyright,art;27;Education;Knowledge;PT4M26S;266;2d;hd;TRUE;;en-GB;;;;;;3648;74;;0;5
290;Tate;VchFg7qYRX4;2016-08-04T11:44:33Z;2016-08-04 11:44:33;Wifredo Lam | TateShots;Wifredo Lam was born in Cuba in 1902 of mixed heritage, and pursued a successful artistic career on both sides of the Atlantic. He was closely associated Pablo Picasso and members of the surrealist movement like André Breton. In this film the artist's son recounts his father's story and shares his memories. His work poetically addresses themes of social injustice, nature and spirituality, and was greeted internationally with both consternation and acclaim. A witness to twentieth-century political upheaval throughout his long career – including the Spanish Civil War and the onset of World War II – Lam defined a new and unique way of painting for a post-colonial world. Lam’s work now brings a historical perspective to contemporary issues. Find out more about Wifredo Lam: https://goo.gl/Mdexo1 The EY Exhibition: Wifredo Lam was at Tate Modern, 14 September 2016 – 8 January 2017: http://goo.gl/zFSbqa Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate modern,tate britain,modern art,art,wifredo lam,paris,cuba,surrealism,surrealist,Pablo Picasso,André Breton,social injustice,post-colonial;27;Education;Hobby,Lifestyle_(sociology);PT5M55S;355;2d;hd;FALSE;;;;;;;;32475;508;;0;10
291;Tate;VIRHKivQCqw;2016-07-28T11:34:50Z;2016-07-28 11:34:50;Barkley L. Hendricks – 'I Want to Be Memorable' | TateShots;Barkley L. Hendricks is an American painter and photographer best known for his realist and post-modern portraits of people living in urban areas, beginning in the 1960s and 70s and continuing to the present. Family Jules: NNN (No Naked Niggahs) (1974) – currently on display in Tate Modern – is one of four paintings that Hendricks made featuring a former student of his at Yale University, George Jules Taylor. In an apparently orientalising interior, he is shown on a luxurious white couch in complete confidence of his nakedness. By positioning a naked black male figure in the place of the traditional female ‘odalisque’, Hendricks adopted an extremely radical stance. As his challenging subtitle underlines, the painting confronts white fears and sexual stereotypes surrounding the black male. While many artists turned to African art to make idealised images of black subjects, he made more realistic images of everyday black figures. Furthermore, in Family Jules, Hendricks not only confronted tendencies to Africanise or idealise the black body, but also tackled the reluctance of black artists to represent naked subjects long associated with exploitative images. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Barkley L. Hendricks,American painter,Painter,photographer,post-modern portraits,urban areas,Family Jules: NNN (No Naked Niggahs),Tate Modern,TateShots;27;Education;Entertainment;PT4M46S;286;2d;hd;FALSE;;en-GB;;;;;;22587;485;;0;10
292;Tate;gtGFgfzekjM;2016-07-22T10:30:28Z;2016-07-22 10:30:28;Art Hoe Collective Meets Lorna Simpson | Tate Collective;Amandla Stenberg and Mars from Art Hoe Collective meet with Brooklyn based artist Lorna Simpson, discussing the inspiration behind the #ArtHoe movement and how it relates to Simpson’s work. Art Hoe Collective is an online platform providing young creatives of colour the opportunity to broadcast and share their artwork. Through social media the collective explore questions of race, gender and sexuality. “It’s become a movement about self-acceptance and self-love as artwork” - Amandla Stenberg of Art Hoe Collective Often using found materials within her work, Lorna Simpson similarly deals with the issues of discrimination and marginalisation that exist in mainstream society. Drawing comparisons between their motivations and artwork, Simpson, Amandla Stenberg and Mars from Art Hoe Collective share their experiences of working as artists. With music by Willow Smith (also of Art Hoe Collective) and Pools. Lorna Simpson’s work is on display in Artist and Society at Tate Modern: http://goo.gl/UaIASv Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate modern,art,art hoe collective,lorna simpson,artist,new tate modern,tate britain,modern art,willow smith,amandla stenberg,mars;27;Education;Hobby,Lifestyle_(sociology);PT4M17S;257;2d;hd;FALSE;;en-GB;;;;;;50574;2296;;0;55
293;Tate;CsPfEwfXmuw;2016-07-21T15:48:29Z;2016-07-21 15:48:29;Akram Zaatari – Photographs, YouTube and Memory | TateShots;Akram Zaatari is a Lebanese filmmaker, photographer and archivist. He has produced more than forty videos, a dozen books and countless installations of photographic material, all related to themes including excavation, political resistance and the circulation of images. As one of a handful of young artists to emerge from Lebanon’s television industry, Zaatari has played a significant role in developing the infrastructure of Beirut’s contemporary art scene. As co-founder of the Arab Image Foundation – an artist-driven organisation devoted to the research and study of photography in the region – he has made invaluable contributions to preservation and archival practice. Akram Zaatari’s film Twenty-Eight Nights and a Poem explores the work of photographer Hashem el Madani, who has run a commercial photography studio in southern Lebanon for the last five decades. The film examines the changing sites, status and function of photographic practice and preservation though various analogue and digital media. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate modern,art,modern art,tateshots,Akram Zaatari,Hashem el Madani,lebanese artist,Lebanon,LGBT,Gay,lesbian;27;Education;Film,Knowledge;PT4M41S;281;2d;hd;FALSE;;en-GB;;;;;;10857;137;;0;0
294;Tate;LDT_RaEq0dI;2016-07-19T09:54:44Z;2016-07-19 09:54:44;Georgia O'Keeffe – Interpreted by Petra Collins;Filmmaker Petra Collins re-interprets the work of artist Georgia O'Keeffe in this inspired short film. Georgia O'Keeffe is on at Tate Modern until the 30th October: http://goo.gl/pfn14e Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,tate modern,georgia o'keeffe,petra collins,flowers,art,modern art,female artist;27;Education;Entertainment;PT2M45S;165;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/LDT_RaEq0dI/maxresdefault.jpg;;;;;51933;1073;;0;10
295;Tate;EdAigXMS7kI;2016-07-14T16:07:57Z;2016-07-14 16:07:57;Apichatpong Weerasethakul – 'I Escape Into the Movies' | TateShots;Cannes Palme d'Or winning filmmaker Apichatpong Weerasethakul grew up in Khon Kaen in north-eastern Thailand. As a young boy he was fascinated by the local storytelling traditions as well as the science-fiction and fantasy films he watched in the cinema. He began making films and video shorts in 1994 and completed his first feature in 2000. He has also mounted exhibitions and installations in many countries since 1998 and is now recognised as a major international visual artist. Working independently of the Thai commercial film industry, he devotes himself to promoting experimental and independent filmmaking through his company Kick the Machine Films, founded in 1999, which also produces all his films. In the multiple-screen installation Primitive (2009), Apichatpong invites us to piece together a narrative that spans history, fantasy and the supernatural. Apichatpong Weerasethakul's Primitive (2009) is on display at Tate Modern: http://goo.gl/8CxaLB Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Apichatpong Weerasethakul,Apichatpong Weerasethakul | TateShots,thailand,filmmaker,Khon Kaen,science-fiction,Primitive,Uncle Boonmee Who Can Recall His Past Lives;27;Education;Entertainment,Film;PT5M32S;332;2d;hd;FALSE;;en-GB;;;;;;63917;1683;;0;23
296;Tate;IE4uQvEIN0s;2016-07-06T09:47:05Z;2016-07-06 09:47:05;Peter Liversidge – The Bridge;Artist Peter Liversidge has written a unique cycle of songs in response to Tate Modern’s building, its history and its place in contemporary life. Inspired by conversations the artist held with gallery staff, construction workers, visitors and local residents, the lyrics will be sung unaccompanied and in unison by over twenty choirs involving over 500 singers to create a powerful soundscape in the Turbine Hall. The piece is conducted and arranged by Esmeralda Conde Ruiz (and assistant Aine O Dwyer).;Tate,tate modern,choir,singing,the bridge,peter liversidge,art,modern art,performance;27;Education;Music;PT6M40S;400;2d;hd;FALSE;;en-GB;;;;;;5049;52;;0;0
297;Tate;M-gIT9gCZgU;2016-07-01T17:39:23Z;2016-07-01 17:39:23;Tarek Atoui – 'Sound Is a Physical Phenomenon' | TateShots;Tarek Atoui's experimental and performance led compositions use a combination of computer generated electro-acoustic sounds as well as man-made and historical instruments. As part of BMW Tate Live, Atoui created a series of new music performances titled The Reverse Collection 2016 took place daily in the South Tank for the first three weeks from the opening of Tate Modern and was recorded and added to the existing sound recordings to create soundscapes that got richer and more complex over the duration of the show. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Film,TateShots,Tarek Atoui,Tate Modern,New Tate Modern,sound art,artist,music art,electroacoustic,composer,music composition;27;Education;Classical_music,Music;PT4M20S;260;2d;hd;FALSE;;en-GB;;;;;;22180;332;;0;7
298;Tate;AA28QmJTap0;2016-06-24T10:53:39Z;2016-06-24 10:53:39;Sheela Gowda – 'Art Is About How You Look At Things' | TateShots;Sheela Gowda is an artist living and working in Bengalaru (formerly Bangalore), India. The artist moved from painting to three-dimensional work in the 1990s in reaction to India’s political unease. Gowda’s work is rooted in her experience of daily life in Bengalaru, observing the coexistence of ritual and superstition alongside modern urban and economic transformation. Behold (2009) consists of two contrasting materials, steel car bumpers and knotted human hair. Behold was inspired by the humble talismans of human hair that are knotted around car bumpers to ward off bad luck. The hair comes from local temples, where it is cut off as a sacrificial offering when pilgrims fulfil sacred vows. In today’s consumer driven world, the longer lengths are sold to make wigs or supply keratin for beauty products, while the shorter sections are kept to make protective talismans, such as those used by motorists. Sheela Gowda's Behold (2009) is currently on display at Tate Modern: http://goo.gl/hAFR90 Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Film,Tate Modern,Sheela Gowda,Tateshots,Tate Shots,Contemporary Art;27;Education;Hobby,Lifestyle_(sociology);PT8M34S;514;2d;hd;TRUE;;en-GB;;;;;;38868;717;;0;16
299;Tate;aT_Xa_OfZkY;2016-06-24T10:29:59Z;2016-06-24 10:29:59;Nigel Henderson | Animating the Archives;Discover the work of photographer Nigel Henderson through the Tate archives. We speak with Professor Victoria Walsh as well as the current residents of the artist's former home, where he captured the life of his community. Nigel Henderson's photographs are available on the Tate website: http://goo.gl/3WdM8u Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Nigel Henderson,Animating the Archives;27;Education;Knowledge;PT8M4S;484;2d;hd;TRUE;;en;https://i.ytimg.com/vi/aT_Xa_OfZkY/maxresdefault.jpg;;;;;4827;90;;0;4
300;Tate;aiFsQ0wusz4;2016-06-17T08:39:28Z;2016-06-17 08:39:28;Mabel x Tate Modern – Talk About Forever | Tate;Rising songwriter and artist Mabel has created a video project to commemorate the opening of the new Tate Modern building. The video is directed by acclaimed choreographer Holly Blakey (Florence & The Machine, Jessie Ware) and the song in the video is an original composition for the project created by Mabel specifically for this special collaboration. The video is reflective of Gustav Metzger’s Liquid Crystal Environment 1965, remade 2005 which is displayed within the new Tate Modern. The colourful, psychedelic patterns produced by light displays such as Metzger’s became icons of London’s cultural scene in the 1960s, as musicians in particular sought to create total sensory environments for the appreciation of their work. Visit the new Tate Modern from Friday 17 June 2016 – find out more: http://goo.gl/Gli1RZ Gustav Metzger's Liquid Crystal Environment 1965 is on display at Tate Modern: http://goo.gl/9yiAWZ Mabel's website: http://www.mabelofficial.com Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Mabel,Tate Modern,Mabel McVey,Gustav Metzger,London,Art,Mabel x Tate Modern,Holly Blakey,Florence & The Machine,Jessie Ware,Liquid Crystal Environment;27;Education;Electronic_music,Music,Pop_music;PT3M56S;236;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/aiFsQ0wusz4/maxresdefault.jpg;;;;;1043993;15415;;0;257
